variant_label,replicate_index,qc_level,k10_total,frequency_rubric_mean,evidence_relevance_mean,hallucination,qc_overall_score,details,report_path,tier2_skipped_reason,raw_grader_response
LLM_a_nemotron,20,end_to_end,30,2.6,2.7,True,2.65,"The diary reveals intermittent fatigue, mild nervousness, and occasional restlessness, but not uniform distress across all K‑10 items. Hopelessness and worth‑lessness are largely absent, and severe anxiety is rare. Several items receive little explicit evidence, while claims that all scores are exactly 3 lack textual support. Frequency varies: restlessness, effort, and fatigue appear frequent, whereas other symptoms are sparsely mentioned. Overall, the review over‑generalizes scores.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003258.html,,"{
  ""frequency_rubric_per_item"": [4,3,2,1,3,3,3,2,3,2],
  ""frequency_rubric_mean"": 2.60,
  ""evidence_relevance_per_item"": [4,4,2,1,3,3,3,2,3,2],
  ""evidence_relevance_mean"": 2.60,
  ""hallucination"": true,
  ""details"": ""The diary reveals intermittent fatigue, mild nervousness, and occasional restlessness, but not uniform distress across all K‑10 items. Hopelessness and worth‑lessness are largely absent, and severe anxiety is rare. Several items receive little explicit evidence, while claims that all scores are exactly 3 lack textual support. Frequency varies: restlessness, effort, and fatigue appear frequent, whereas other symptoms are sparsely mentioned. Overall, the review over‑generalizes scores.""
}"
LLM_a_nemotron,20,rag_aware,30,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003258.html,rag_unavailable_or_empty,
LLM_a_nemotron,21,end_to_end,36,3.4,3.4,False,3.4,"High distress centers on exhaustion, anxiety, restlessness and low mood; evidence largely aligns with journal content, though some symptom mapping is inaccurate.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003341.html,,"{
  ""frequency_rubric_per_item"": [4,4,2,2,4,4,3,3,4,4],
  ""frequency_rubric_mean"": 3.40,
  ""evidence_relevance_per_item"": [4,4,1,1,4,4,4,4,4,4],
  ""evidence_relevance_mean"": 3.40,
  ""hallucination"": false,
  ""details"": ""High distress centers on exhaustion, anxiety, restlessness and low mood; evidence largely aligns with journal content, though some symptom mapping is inaccurate.""
}"
LLM_a_nemotron,21,rag_aware,36,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003341.html,rag_unavailable_or_empty,
LLM_a_nemotron,22,end_to_end,39,4.1,2.9,False,3.5,"The report captures overall high distress but mismatches evidence with item themes; frequency of symptoms is well reflected, while relevance scores drop for several items. Overall it underscores pervasive anxiety, fatigue, and restlessness, yet could improve alignment between stated evidence and specific K‑10 items.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003404.html,,"{""frequency_rubric_per_item"":[5,5,4,3,5,4,4,3,4,4],""frequency_rubric_mean"":4.1,""evidence_relevance_per_item"":[5,3,2,2,5,4,2,1,4,1],""evidence_relevance_mean"":2.9,""hallucination"":false,""details"":""The report captures overall high distress but mismatches evidence with item themes; frequency of symptoms is well reflected, while relevance scores drop for several items. Overall it underscores pervasive anxiety, fatigue, and restlessness, yet could improve alignment between stated evidence and specific K‑10 items.""}"
LLM_a_nemotron,22,rag_aware,39,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003404.html,rag_unavailable_or_empty,
LLM_a_nemotron,23,end_to_end,37,2.0,4.0,False,3.0,"The report identifies pervasive fatigue, restlessness, and depressive mood across the year, with high scores reflecting frequent symptomology. It notes consistent use of grounding routines and gratitude practices, suggesting resilience strategies.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003442.html,,"{""frequency_rubric_per_item"":[2,2,2,2,2,2,2,2,2,2],""frequency_rubric_mean"":2.00,""evidence_relevance_per_item"":[4,4,4,4,4,4,4,4,4,4],""evidence_relevance_mean"":4.00,""hallucination"":false,""details"":""The report identifies pervasive fatigue, restlessness, and depressive mood across the year, with high scores reflecting frequent symptomology. It notes consistent use of grounding routines and gratitude practices, suggesting resilience strategies.""}"
LLM_a_nemotron,23,rag_aware,37,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003442.html,rag_unavailable_or_empty,
LLM_a_nemotron,24,end_to_end,43,4.7,4.7,False,4.7,"The report accurately attributes most symptoms to recurring diary entries, with evidence closely matching each K-10 theme. Frequency ratings are predominantly high, reflecting the breadth of mentions. Evidence relevance is generally strong, though some items (e.g., intense anxiety) could benefit from more specific excerpts. No hallucinations or contradictions were detected.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003519.html,,"{
  ""frequency_rubric_per_item"": [5,5,4,4,5,4,5,5,5,5],
  ""frequency_rubric_mean"": 4.70,
  ""evidence_relevance_per_item"": [5,5,4,4,5,4,5,5,5,5],
  ""evidence_relevance_mean"": 4.70,
  ""hallucination"": false,
  ""details"": ""The report accurately attributes most symptoms to recurring diary entries, with evidence closely matching each K-10 theme. Frequency ratings are predominantly high, reflecting the breadth of mentions. Evidence relevance is generally strong, though some items (e.g., intense anxiety) could benefit from more specific excerpts. No hallucinations or contradictions were detected.""
}"
LLM_a_nemotron,24,rag_aware,43,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003519.html,rag_unavailable_or_empty,
LLM_a_nemotron,25,end_to_end,33,2.7,2.0,True,2.35,"The report contains many mismatches between the K-10 stems and the provided evidence, leading to low relevance scores and undermining the reliability of the frequency estimates.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003546.html,,"{
  ""frequency_rubric_per_item"": [4,3,3,2,4,2,3,2,2,2],
  ""frequency_rubric_mean"": 2.70,
  ""evidence_relevance_per_item"": [2,2,2,2,2,2,2,2,2,2],
  ""evidence_relevance_mean"": 2.00,
  ""hallucination"": true,
  ""details"": ""The report contains many mismatches between the K-10 stems and the provided evidence, leading to low relevance scores and undermining the reliability of the frequency estimates.""
}"
LLM_a_nemotron,25,rag_aware,33,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003546.html,rag_unavailable_or_empty,
LLM_a_nemotron,26,end_to_end,47,4.2,4.4,True,4.3,"The report lauds extreme frequencies for nervousness and hopelessness that only surface sporadically in the data, giving them high scores while the supporting rationales are misaligned or generic. Fatigue, restlessness, and depression are accurately flagged, but the evidence cited for several items is irrelevant or absent.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003614.html,,"{
  ""frequency_rubric_per_item"": [5,5,1,2,5,5,4,5,5,5],
  ""frequency_rubric_mean"": 4.20,
  ""evidence_relevance_per_item"": [5,5,2,3,5,5,4,5,5,5],
  ""evidence_relevance_mean"": 4.40,
  ""hallucination"": true,
  ""details"": ""The report lauds extreme frequencies for nervousness and hopelessness that only surface sporadically in the data, giving them high scores while the supporting rationales are misaligned or generic. Fatigue, restlessness, and depression are accurately flagged, but the evidence cited for several items is irrelevant or absent.""
}"
LLM_a_nemotron,26,rag_aware,47,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003614.html,rag_unavailable_or_empty,
LLM_a_nemotron,27,end_to_end,42,3.9,4.9,False,4.4,"The report accurately reflects frequent fatigue, nervousness, and restlessness across many entries, scoring them high on frequency. Evidence excerpts directly match each item, though depressive language is less explicit. No fabricated statements are present, indicating no hallucinations. Overall, both frequency and evidence relevance are strong for most items, with mild uncertainty for the depressed item.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003657.html,,"{""frequency_rubric_per_item"":[5,5,2,2,5,5,4,5,3,3],""frequency_rubric_mean"":3.9,""evidence_relevance_per_item"":[5,5,5,5,5,5,4,5,5,5],""evidence_relevance_mean"":4.7,""hallucination"":false,""details"":""The report accurately reflects frequent fatigue, nervousness, and restlessness across many entries, scoring them high on frequency. Evidence excerpts directly match each item, though depressive language is less explicit. No fabricated statements are present, indicating no hallucinations. Overall, both frequency and evidence relevance are strong for most items, with mild uncertainty for the depressed item.""}"
LLM_a_nemotron,27,rag_aware,42,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003657.html,rag_unavailable_or_empty,
LLM_a_nemotron,28,end_to_end,48,3.0,1.0,True,2.0,"The report provides evidence statements that are not supported by the journal text, leading to severe hallucination and misalignment of item themes.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003733.html,,"{
  ""frequency_rubric_per_item"": [5,5,1,1,5,1,3,1,3,5],
  ""frequency_rubric_mean"": 2.80,
  ""evidence_relevance_per_item"": [1,1,1,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.00,
  ""hallucination"": true,
  ""details"": ""The report provides evidence statements that are not supported by the journal text, leading to severe hallucination and misalignment of item themes.""
}"
LLM_a_nemotron,28,rag_aware,48,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003733.html,rag_unavailable_or_empty,
LLM_a_nemotron,29,end_to_end,42,2.0,5.0,True,3.5,"Scores seem exaggerated; item evidence is limited, yet the report assigns high K‑10 totals.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003807.html,,"{
  ""frequency_rubric_per_item"": [2,2,2,2,2,2,2,2,2,2],
  ""frequency_rubric_mean"": 2.00,
  ""evidence_relevance_per_item"": [5,5,5,5,5,5,5,5,5,5],
  ""evidence_relevance_mean"": 5.00,
  ""hallucination"": true,
  ""details"": ""Scores seem exaggerated; item evidence is limited, yet the report assigns high K‑10 totals.""
}"
LLM_a_nemotron,29,rag_aware,42,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003807.html,rag_unavailable_or_empty,
LLM_a_nemotron,30,end_to_end,43,3.3,2.8,False,3.05,Most items show high recurrency of anxiety and restlessness; evidence largely matches; only a few items mis‑aligned though not inherently contradictory.,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003853.html,,"{""frequency_rubric_per_item"":[4,4,3,3,4,3,3,2,3,4],""frequency_rubric_mean"":3.00,""evidence_relevance_per_item"":[5,5,2,2,5,2,2,2,2,1],""evidence_relevance_mean"":2.80,""hallucination"":false,""details"":""Most items show high recurrency of anxiety and restlessness; evidence largely matches; only a few items mis‑aligned though not inherently contradictory.""}"
LLM_a_nemotron,30,rag_aware,43,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003853.html,rag_unavailable_or_empty,
LLM_a_nemotron,31,end_to_end,43,3.7,1.2,False,2.45,"Diary suggests frequent exhaustion, anxiety and an effortful daily routine, indicating high distress, yet specific evidence supporting each K‑10 item is limited.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003925.html,,"{
  ""frequency_rubric_per_item"": [4,4,4,3,4,3,4,3,4,4],
  ""frequency_rubric_mean"": 3.70,
  ""evidence_relevance_per_item"": [3,1,1,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.20,
  ""hallucination"": false,
  ""details"": ""Diary suggests frequent exhaustion, anxiety and an effortful daily routine, indicating high distress, yet specific evidence supporting each K‑10 item is limited.""
}"
LLM_a_nemotron,31,rag_aware,43,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_003925.html,rag_unavailable_or_empty,
LLM_a_nemotron,32,end_to_end,36,4.1,5.0,False,4.55,"The report provides clear item‑specific evidence, but its computed frequency categories may overstate symptom prevalence.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004006.html,,"{
  ""frequency_rubric_per_item"": [4, 5, 3, 3, 5, 4, 4, 3, 5, 5],
  ""frequency_rubric_mean"": 4.10,
  ""evidence_relevance_per_item"": [5, 5, 5, 5, 5, 5, 5, 5, 5, 5],
  ""evidence_relevance_mean"": 5.00,
  ""hallucination"": false,
  ""details"": ""The report provides clear item‑specific evidence, but its computed frequency categories may overstate symptom prevalence.""
}"
LLM_a_nemotron,32,rag_aware,36,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004006.html,rag_unavailable_or_empty,
LLM_a_nemotron,33,end_to_end,40,4.1,3.0,False,3.55,"The report shows high anxiety, frequent restlessness and fatigue across most weeks. Sporadic moments of resilience surface through brief grounding practices, but overall mood and motivation remain challenged.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004051.html,,"{""frequency_rubric_per_item"":[4,4,4,4,5,4,5,5,3,3],""frequency_rubric_mean"":4.10,""evidence_relevance_per_item"":[2,3,4,2,4,3,3,3,4,2],""evidence_relevance_mean"":3.10,""hallucination"":false,""details"":""The report shows high anxiety, frequent restlessness and fatigue across most weeks. Sporadic moments of resilience surface through brief grounding practices, but overall mood and motivation remain challenged.""}"
LLM_a_nemotron,33,rag_aware,40,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004051.html,rag_unavailable_or_empty,
LLM_a_nemotron,34,end_to_end,49,3.3,5.0,True,4.15,"The report highlights persistent fatigue and anxiety across many days, with frequent restlessness and depressive symptoms marked by shallow mood. Evidence is clearly tied to each item, but the reliance on a narrow set of dates and a few mentions for several items suggests the reported frequency ratings may overstate recurrence. Additionally, several date references are unsupported by the journal, indicating hallucinations.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004123.html,,"{
  ""frequency_rubric_per_item"": [5,4,3,3,3,3,3,3,3,3],
  ""frequency_rubric_mean"": 3.30,
  ""evidence_relevance_per_item"": [5,5,5,5,5,5,5,5,5,5],
  ""evidence_relevance_mean"": 5.00,
  ""hallucination"": true,
  ""details"": ""The report highlights persistent fatigue and anxiety across many days, with frequent restlessness and depressive symptoms marked by shallow mood. Evidence is clearly tied to each item, but the reliance on a narrow set of dates and a few mentions for several items suggests the reported frequency ratings may overstate recurrence. Additionally, several date references are unsupported by the journal, indicating hallucinations.""
}"
LLM_a_nemotron,34,rag_aware,49,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004123.html,rag_unavailable_or_empty,
LLM_a_nemotron,35,end_to_end,39,2.8,1.0,False,1.9,"Report misaligns evidence with item themes, giving low relevance yet high frequency scores appear grounded from diary.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004208.html,,"{
  ""frequency_rubric_per_item"": [5,4,1,3,3,2,2,2,4,2],
  ""frequency_rubric_mean"": 2.80,
  ""evidence_relevance_per_item"": [1,1,1,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.00,
  ""hallucination"": false,
  ""details"": ""Report misaligns evidence with item themes, giving low relevance yet high frequency scores appear grounded from diary.""
}"
LLM_a_nemotron,35,rag_aware,39,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004208.html,rag_unavailable_or_empty,
LLM_a_nemotron,36,end_to_end,34,1.0,1.0,True,1.0,"Assessment finds all K‑10 items are minimally supported by the journal; evidence inserted is largely fabricated or off‑topic, leading to a low frequency and relevance rating. The report contains significant hallucinations.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004251.html,,"{
  ""frequency_rubric_per_item"": [1,1,1,1,1,1,1,1,1,1],
  ""frequency_rubric_mean"": 1.00,
  ""evidence_relevance_per_item"": [1,1,1,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.00,
  ""hallucination"": true,
  ""details"": ""Assessment finds all K‑10 items are minimally supported by the journal; evidence inserted is largely fabricated or off‑topic, leading to a low frequency and relevance rating. The report contains significant hallucinations.""
}"
LLM_a_nemotron,36,rag_aware,34,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004251.html,rag_unavailable_or_empty,
LLM_a_nemotron,37,end_to_end,32,3.3,2.0,False,2.65,"The report captures frequent tiredness, anxiety, and restlessness with moderate depressive themes, but lacks specific evidence excerpts, limiting definitive item attribution.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004314.html,,"{
  ""frequency_rubric_per_item"": [4,4,3,2,4,3,4,2,3,4],
  ""frequency_rubric_mean"": 3.30,
  ""evidence_relevance_per_item"": [2,2,2,2,2,2,2,2,2,2],
  ""evidence_relevance_mean"": 2.00,
  ""hallucination"": false,
  ""details"": ""The report captures frequent tiredness, anxiety, and restlessness with moderate depressive themes, but lacks specific evidence excerpts, limiting definitive item attribution.""
}"
LLM_a_nemotron,37,rag_aware,32,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004314.html,rag_unavailable_or_empty,
LLM_a_nemotron,38,end_to_end,50,4.3,2.0,True,3.15,"Evidence alignments were inconsistent, and many items lacked direct support, suggesting over‑generalization and hallucination of symptom frequency.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004340.html,,"{""frequency_rubric_per_item"":[5,5,4,3,5,3,5,4,4,5],""frequency_rubric_mean"":4.30,""evidence_relevance_per_item"":[2,2,2,2,2,2,2,2,2,2],""evidence_relevance_mean"":2.00,""hallucination"":true,""details"":""Evidence alignments were inconsistent, and many items lacked direct support, suggesting over‑generalization and hallucination of symptom frequency.""}"
LLM_a_nemotron,38,rag_aware,50,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004340.html,rag_unavailable_or_empty,
LLM_a_nemotron,39,end_to_end,46,3.5,3.3,False,3.4,"The diary highlights persistent anxiety and depressive symptoms across many weeks, yet illustrates growing use of grounding, physical activity, and goal tracking that suggest gradual adaptive coping. The pattern shows frequent restlessness and fatigue, but also ongoing engagement in intentional self‑care.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004407.html,,"{
  ""frequency_rubric_per_item"": [4,5,3,3,3,4,2,3,4,4],
  ""frequency_rubric_mean"": 3.50,
  ""evidence_relevance_per_item"": [3,4,2,4,3,4,2,4,3,4],
  ""evidence_relevance_mean"": 3.30,
  ""hallucination"": false,
  ""details"": ""The diary highlights persistent anxiety and depressive symptoms across many weeks, yet illustrates growing use of grounding, physical activity, and goal tracking that suggest gradual adaptive coping. The pattern shows frequent restlessness and fatigue, but also ongoing engagement in intentional self‑care.""
}"
LLM_a_nemotron,39,rag_aware,46,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004407.html,rag_unavailable_or_empty,
LLM_a_nemotron,40,end_to_end,41,3.9,3.4,False,3.65,"The report captures high-frequency emotional distress, accurately reflecting recurrent fatigue, nervousness, and effortful feeling across the journal. Evidence largely aligns with each symptom except for hopelessness, restlessness and worthlessness where coverage is sparse, suggesting missing contextual detail. Overall, the analysis is consistent with diary content and shows no hallucinations.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004439.html,,"{
  ""frequency_rubric_per_item"": [5,5,4,3,4,3,5,2,4,4],
  ""frequency_rubric_mean"": 3.90,
  ""evidence_relevance_per_item"": [5,5,5,2,2,3,4,2,4,2],
  ""evidence_relevance_mean"": 3.40,
  ""hallucination"": false,
  ""details"": ""The report captures high-frequency emotional distress, accurately reflecting recurrent fatigue, nervousness, and effortful feeling across the journal. Evidence largely aligns with each symptom except for hopelessness, restlessness and worthlessness where coverage is sparse, suggesting missing contextual detail. Overall, the analysis is consistent with diary content and shows no hallucinations.""
}"
LLM_a_nemotron,40,rag_aware,41,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004439.html,rag_unavailable_or_empty,
LLM_a_nemotron,41,end_to_end,41,4.2,4.3,False,4.25,"High fatigue, anxiety, and restlessness recur across entries, with moderate hopelessness and depression. Micro‑win routines and grounding are practiced, yet worthlessness and feeling overwhelmed persist, indicating significant distress despite coping efforts.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004516.html,,"{
  ""frequency_rubric_per_item"": [5, 5, 4, 4, 3, 5, 4, 5, 4, 3],
  ""frequency_rubric_mean"": 4.20,
  ""evidence_relevance_per_item"": [5, 5, 2, 3, 5, 5, 5, 5, 4, 4],
  ""evidence_relevance_mean"": 4.30,
  ""hallucination"": false,
  ""details"": ""High fatigue, anxiety, and restlessness recur across entries, with moderate hopelessness and depression. Micro‑win routines and grounding are practiced, yet worthlessness and feeling overwhelmed persist, indicating significant distress despite coping efforts.""
}"
LLM_a_nemotron,41,rag_aware,41,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004516.html,rag_unavailable_or_empty,
LLM_a_nemotron,42,end_to_end,45,3.8,5.0,False,4.4,"The diary consistently shows high levels of fatigue, nervousness, and depressive moods, with several entries describing extreme anxiety, hopelessness, and worthlessness. Restlessness appears frequently, though rarely so intense to disrupt sitting. Grounding practices surface often. The report accurately reflects these patterns, with strong, item‑specific evidence and no unsupported claims.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004550.html,,"{
  ""frequency_rubric_per_item"": [5,4,3,4,3,4,4,4,4,3],
  ""frequency_rubric_mean"": 3.80,
  ""evidence_relevance_per_item"": [5,5,5,5,5,5,5,5,5,5],
  ""evidence_relevance_mean"": 5.00,
  ""hallucination"": false,
  ""details"": ""The diary consistently shows high levels of fatigue, nervousness, and depressive moods, with several entries describing extreme anxiety, hopelessness, and worthlessness. Restlessness appears frequently, though rarely so intense to disrupt sitting. Grounding practices surface often. The report accurately reflects these patterns, with strong, item‑specific evidence and no unsupported claims.""
}"
LLM_a_nemotron,42,rag_aware,45,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004550.html,rag_unavailable_or_empty,
LLM_a_nemotron,43,end_to_end,44,3.8,4.1,False,3.95,"The diary shows a persistent cycle of anxiety, fatigue, and depressive mood, with frequent references to hypervigilance, feelings of hopelessness, and guilt‑based worthlessness. While resting moments and structured routines surface, they are interspersed with restless energy and low motivation. The report accurately mirrors journal content and contains no evident fabrications.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004623.html,,"{
  ""frequency_rubric_per_item"": [5,4,2,3,2,4,5,4,4,5],
  ""frequency_rubric_mean"": 3.80,
  ""evidence_relevance_per_item"": [5,4,2,3,4,5,5,4,4,5],
  ""evidence_relevance_mean"": 4.10,
  ""hallucination"": false,
  ""details"": ""The diary shows a persistent cycle of anxiety, fatigue, and depressive mood, with frequent references to hypervigilance, feelings of hopelessness, and guilt‑based worthlessness. While resting moments and structured routines surface, they are interspersed with restless energy and low motivation. The report accurately mirrors journal content and contains no evident fabrications.""
}"
LLM_a_nemotron,43,rag_aware,44,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004623.html,rag_unavailable_or_empty,
LLM_a_nemotron,44,end_to_end,34,5.0,4.0,False,4.5,The K10 report aligns well with the diary text; evidence directly supports each symptom and frequency scores reflect recurring themes across many entries.,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004932.html,,"{
  ""frequency_rubric_per_item"": [5,5,5,5,5,5,5,5,5,5],
  ""frequency_rubric_mean"": 5.00,
  ""evidence_relevance_per_item"": [4,4,4,4,4,4,4,4,4,4],
  ""evidence_relevance_mean"": 4.00,
  ""hallucination"": false,
  ""details"": ""The K10 report aligns well with the diary text; evidence directly supports each symptom and frequency scores reflect recurring themes across many entries.""
}"
LLM_a_nemotron,44,rag_aware,34,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004932.html,rag_unavailable_or_empty,
LLM_a_nemotron,45,end_to_end,40,2.8,1.0,True,1.9,"Report overstates symptom frequencies; many claims unsubstantiated by entries. Depressive and anxiety themes appear often, but evidence cited mixes topics. Report misattributes content, leading to inaccurate K‑10 scoring.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004958.html,,"{
  ""frequency_rubric_per_item"": [4,4,3,2,3,2,3,2,2,3],
  ""frequency_rubric_mean"": 2.8,
  ""evidence_relevance_per_item"": [1,1,1,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.0,
  ""hallucination"": true,
  ""details"": ""Report overstates symptom frequencies; many claims unsubstantiated by entries. Depressive and anxiety themes appear often, but evidence cited mixes topics. Report misattributes content, leading to inaccurate K‑10 scoring.""
}"
LLM_a_nemotron,45,rag_aware,40,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_004958.html,rag_unavailable_or_empty,
LLM_a_nemotron,46,end_to_end,43,4.0,2.9,False,3.45,"The diary shows high-frequency fatigue and anxiety, moderate hopelessness and low sadness. Restlessness and effort‑related exhaustion dominate daily language, while feelings of worthlessness and depression appear less frequent. Evidence for most items aligns with the reported symptoms, though some references are vague. The overall picture suggests chronic stress with moments of temporary relief through grounding practices.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_005047.html,,"{""frequency_rubric_per_item"":[5,5,3,3,5,2,5,3,4,5],""frequency_rubric_mean"":4.00,""evidence_relevance_per_item"":[4,5,3,2,4,1,3,3,2,2],""evidence_relevance_mean"":2.90,""hallucination"":false,""details"":""The diary shows high-frequency fatigue and anxiety, moderate hopelessness and low sadness. Restlessness and effort‑related exhaustion dominate daily language, while feelings of worthlessness and depression appear less frequent. Evidence for most items aligns with the reported symptoms, though some references are vague. The overall picture suggests chronic stress with moments of temporary relief through grounding practices.""}"
LLM_a_nemotron,46,rag_aware,43,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_005047.html,rag_unavailable_or_empty,
LLM_a_nemotron,47,end_to_end,41,3.6,4.5,False,4.05,"The report reflects frequent themes throughout the diary, providing concrete bullet evidence, yet some items are based on limited occurrences, leading to lower frequency scores.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_005115.html,,"{
  ""frequency_rubric_per_item"": [4,2,5,5,3,2,3,4,3,5],
  ""frequency_rubric_mean"": 3.60,
  ""evidence_relevance_per_item"": [4,4,5,5,4,4,5,4,5,5],
  ""evidence_relevance_mean"": 4.50,
  ""hallucination"": false,
  ""details"": ""The report reflects frequent themes throughout the diary, providing concrete bullet evidence, yet some items are based on limited occurrences, leading to lower frequency scores.""
}"
LLM_a_nemotron,47,rag_aware,41,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_005115.html,rag_unavailable_or_empty,
LLM_a_nemotron,48,end_to_end,47,4.4,4.8,True,4.6,"The report shows pervasive anxiety, fatigue, restlessness and low mood across the last 30 days, with high frequency for most items. Evidence for hopelessness and worthlessness is less consistent. The overall distress rating appears inflated, and the documented score/counts suggest mis‑alignment with the actual entries.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_005146.html,,"{
  ""frequency_rubric_per_item"": [5,5,5,3,5,3,5,3,5,5],
  ""frequency_rubric_mean"": 4.60,
  ""evidence_relevance_per_item"": [5,5,5,5,5,4,5,4,5,5],
  ""evidence_relevance_mean"": 4.90,
  ""hallucination"": true,
  ""details"": ""The report shows pervasive anxiety, fatigue, restlessness and low mood across the last 30 days, with high frequency for most items. Evidence for hopelessness and worthlessness is less consistent. The overall distress rating appears inflated, and the documented score/counts suggest mis‑alignment with the actual entries.""
}"
LLM_a_nemotron,48,rag_aware,47,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_005146.html,rag_unavailable_or_empty,
